id;avg_net_income;unemployment_count;unemployment_percentage;population;dateID;districtID;sexID
342;21734;3154;0.05185;89078;4;22;0
343;25798;1759;0.06099;89078;4;22;1
344;17495;1395;0.04362;89078;4;22;2
345;31095;346;0.02955;17147;5;0;0
346;40019;187;0.03187;17147;5;0;1
347;21791;159;0.02721;17147;5;0;2
348;18008;4300;0.06602;93313;5;1;0
349;19917;2664;0.08;93313;5;1;1
350;15832;1636;0.05139;93313;5;1;2
351;20908;3761;0.06389;83919;5;2;0
352;23979;2225;0.07706;83919;5;2;1
353;17742;1536;0.05121;83919;5;2;2
354;23221;933;0.04392;30189;5;3;0
355;27092;533;0.05146;30189;5;3;1
356;19340;400;0.03673;30189;5;3;2
357;17682;2572;0.06731;52286;5;4;0
358;19416;1572;0.08151;52286;5;4;1
359;15796;999;0.05283;52286;5;4;2
360;21037;1309;0.05925;29463;5;5;0
361;23751;851;0.07719;29463;5;5;1
362;18211;458;0.0414;29463;5;5;2
363;21191;1010;0.04489;29955;5;6;0
364;24355;582;0.05309;29955;5;6;1
365;18205;428;0.0371;29955;5;6;2
366;22698;708;0.04015;23613;5;7;0
367;26717;434;0.04914;23613;5;7;1
368;18842;274;0.03113;23613;5;7;2
369;21359;1203;0.04164;39160;5;8;0
370;25027;734;0.05138;39160;5;8;1
371;17786;469;0.03211;39160;5;8;2
372;17454;8842;0.07613;169413;5;9;0
373;19251;5356;0.09231;169413;5;9;1
374;15370;3486;0.05998;169413;5;9;2
375;17984;4234;0.0726;82903;5;10;0
376;20050;2468;0.08514;82903;5;10;1
377;15597;1767;0.06022;82903;5;10;2
378;17926;4633;0.07928;85011;5;11;0
379;19705;2788;0.09618;85011;5;11;1
380;15933;1846;0.06265;85011;5;11;2
381;26946;1291;0.04043;51304;5;12;0
382;33693;725;0.04873;51304;5;12;1
383;20356;566;0.03318;51304;5;12;2
384;20966;3520;0.06163;83246;5;13;0
385;24002;2096;0.07544;83246;5;13;1
386;17806;1424;0.04856;83246;5;13;2
387;15800;4204;0.08292;70228;5;14;0
388;16995;2620;0.10117;70228;5;14;1
389;14413;1584;0.06387;70228;5;14;2
390;17612;5051;0.07645;93877;5;15;0
391;19144;3215;0.097;93877;5;15;1
392;15903;1836;0.05576;93877;5;15;2
393;18879;2610;0.07059;52626;5;16;0
394;21219;1651;0.0895;52626;5;16;1
395;16345;958;0.05175;52626;5;16;2
396;23280;1708;0.053;47333;5;17;0
397;28603;1004;0.06538;47333;5;17;1
398;18107;704;0.04172;47333;5;17;2
399;24683;1859;0.04278;67832;5;18;0
400;30390;1075;0.05263;67832;5;18;1
401;18941;784;0.03404;67832;5;18;2
402;16650;4125;0.07241;81719;5;19;0
403;17982;2577;0.08965;81719;5;19;1
404;15086;1548;0.05486;81719;5;19;2
405;19212;6129;0.06549;137335;5;20;0
406;21753;3631;0.07964;137335;5;20;1
407;16473;2498;0.05204;137335;5;20;2
408;20599;4910;0.04775;149083;5;21;0
409;23915;2722;0.05503;149083;5;21;1
410;17092;2188;0.041;149083;5;21;2
411;22379;3007;0.04941;90291;5;22;0
412;26600;1670;0.05788;90291;5;22;1
413;18046;1337;0.04178;90291;5;22;2
414;31213;302;0.02648;16976;6;0;0
415;38870;164;0.02875;16976;6;0;1
416;23253;138;0.0242;16976;6;0;2
417;18481;3934;0.06035;93463;6;1;0
418;20406;2435;0.07293;93463;6;1;1
419;16286;1499;0.04715;93463;6;1;2
420;21410;3435;0.05878;83050;6;2;0
421;24565;2007;0.07018;83050;6;2;1
422;18171;1428;0.04785;83050;6;2;2
423;23552;877;0.04098;30262;6;3;0
424;27510;498;0.04773;30262;6;3;1
425;19557;379;0.03456;30262;6;3;2
426;18203;2392;0.06234;52434;6;4;0
427;19792;1460;0.07556;52434;6;4;1
428;16462;932;0.04893;52434;6;4;2
